ID;Question;AnswerOne;AnswerTwo;AnswerThree;AnswerFour;Correct;Argument
407;Select the best definition of VMBE speed:;The lowest speed which can be used as the decision speed for the aeroplane;"The minimum speed that the wheel brakes have
demonstrated the ability to absorb the energy required to stop the aeroplane for takeoff conditions";"The maximum speed that the wheel brakes have
demonstrated the ability to absorb the energy required to stop the aeroplane for takeoff conditions";The V1 speed associated with the maximum aerodynamic control speed on the ground;3;Performance and flight planning
408;If the takeoff is limited by the climb limited weight which is less than the field length limited weight and the decision to abort the takeoff occurs two seconds after V1 speed has been reached:;The aeroplane will easily stop on the runway since weight is less than the field length limited weight;The aeroplane cannot stop on the runway;The aeroplane may not be capable of stopping on the runway since stop is initiated after V1;"The aeroplane will easily stop on the runway since the weight is less than the field length limited weight and the thrust reverser is not considered in the calculation of the
dry field length limited weight";3;Performance and flight planning
409;"When using the assumed temperature method of reduced thrust the take off
speeds are determined at which temperature?";"V1 - Vr - V2 at the outside temperature, V1MCG at the
assumed temperature";"V1 - Vr - V2 at the assumed temperature, V1MCG at the
outside temperature";"V1 - Vr - V2 at the outside temperature, V1MCG at the
outside temperature";"V1 - Vr - V2 at the assumed temperature, V1MCG at the
assumed temperature";2;Performance and flight planning
410;Choose the correct statement:;"Assumed temperature reduced thrust is allowed with anti-
skid inoperative";Derate is allowed on contaminated runways;"Using derate will always yield lower MTOW capability on
contaminated runways than a full rate take off";"Assumed temperature is allowed on slippery and
contaminated runways";2;Performance and flight planning
411;Which is a restriction on Vr with the respect to VMCA?;Vr is equal to or greater than 1.05 VMCG;Vr is equal to or greater than 1.05 VMCA;Vr is equal to or greater than 1.5 VMCA;Vr is equal to or greater than 1.5 VMCG;2;Performance and flight planning
412;During III° segment of a takeoff climb profile, the minimum engine-out climb required capability for a two engine aeroplane above 400ft is a gradient of:;Equal or greater than 2.4%;Equal or greater than 1.2%;Positive rate;None of the above;2;Performance and flight planning
413;Flying ECON speed will result in:;Maximum trip fuel;Minimum trip time;Minimum trip cost;Maximum payload;3;Performance and flight planning
414;Choose the best description of the performance technique called “improved climb”:;The practice of reducing the takeoff weight to meet the takeoff climb limit requirements;"The scheduling of a take off speed greater than the normal QRH/FMC V2 in order to takeoff at a weight
greater than the normal climb limit weight";The practice of over boosting the engines to obtain more climb capability;The practice of adjusting the center of gravity in order to improve the climb capability of the aeroplane;2;Performance and flight planning
415;Which statement in NOT true regarding the use of clearway?;Maximum clearway adjustments are provided for guidance when more precise data are unavailable;Use of clearway is not allowed on wet runways;Takeoff speeds adjustments are to be applied when using takeoff weights are based on the use of clearway;Use of clearway is allowed on wet runways;4;Performance and flight planning
416;"Regarding flap maneuver speeds; during flap retraction/extension, movement of the flap to the next position should be initiated when within        kt of the
recommended position:";20;10;30;40;1;Performance and flight planning
417;"Regulation  permits the use of up to         % assumed temperature reduced
takeoff thrust for operation with anti-skid inoperative?";20;25;30;0;4;Performance and flight planning
418;Which of these is NOT a relevant condition to classify an aerodrome adequate?;"The pavement strength is compatible with aeroplane
weight or a derogation is obtained from Aerodrome Authorities";It can be reached while respecting the rules of the air;Is located within 25nm from the route centerline;The available runway length and width is sufficient to meet aeroplane performance requirements;3;General basic
419;"An aerodrome is considered ""suitable"" for operations, when in addition to the requirement in order to be ""adequate"", the weather report or forecast, or any combination thereof indicate the weather conditions are above the operating
minima applicable and s";True;False;;;1;General basic
420;"Neos S.p.A. B737-800 operations normally require at least following category
of fire fighting and rescue services (RFF):";5;6;7;8;3;General basic
421;For straight in approaches the B737-800 is certified in category:;C;D;B;A;1;General basic
422;For Circling approach the B737-800 is certified in category:;C;D;A;B;1;General basic
423;"An aerodrome is equipped with CATI facilities, which is the required minima to
file it as takeoff alternate?";CATI;Non precision;Non precision plus 200ft/1000m;Circling;2;General basic
424;"One engine out cruising speed to calculate the distance from the en-route
alternate is:";400kt;420kt;440kt;410kt;4;General basic
425;The lowest circling minima permitted to the Neos S.p.A. B737-800 is:;700ft/3600m;600ft/2400m;500ft/1600m;400ft/1500m;1;General basic
426;"An aerodrome is equipped with Non-precision facilities, which is the required
minima to file it as destination alternate?";Circling;Non-precision plus 200ft/1000m;CATII;Non precision;2;General basic
427;"An aerodrome is equipped with CATIII facilities, which is the required minima to
file it as en-route alternate?";Circling;Non-precision;CATI;CATII;3;General basic
428;It is a Neos S.p.A. requirement that all approaches are stabilized by:;1500ft in VMC;1500ft in IMC;1000ft in VMC;1000ft in IMC;4;General basic
429;Minimum Diverting Fuel (MDF) is considered:;Alternate fuel to diverting aerodrome + Final Reserve Fuel (30min holding at 1500ft);Alternate fuel to diverting aerodrome + Final Reserve Fuel (30min holding at 1500ft) + extra fuel (at least 500kg);Final Reserve Fuel(30min holding at 1500 ft) + contingency fuel;Alternate fuel to diverting aerodromes (first and second alternate) + Final Reserve Fuel (30min holding at 1500ft);1;General basic
430;During preflight minimum block fuel required for the flight must include:;"Trip fuel, contingency fuel, alternate fuel (if destination alternate is required), final reserve fuel, additional fuel required by the operation type (e.g. ETOPS) and extra
fuel at Commander discretion";Taxi fuel, trip fuel, contingency fuel, alternate fuel (if destination alternate is required), additional fuel required by the operation type (e.g. ETOPS);"Taxi fuel, trip fuel, contingency fuel, alternate fuel (if destination alternate is required), final reserve fuel, additional fuel required by the operation type (e.g.
ETOPS) and extra fuel at Commander discretion";"Taxi fuel, trip fuel, alternate fuel (if destination alternate is required), final reserve fuel, additional fuel required by the operation type (e.g. ETOPS) and extra fuel at
Commander discretion";3;General basic
431;Last Minute Change (LMC) are accepted, without the requirement of a new load sheet (mass and balance documentation), up to a maximum change of:;1000kg;500kg;1,5% of actual weight;1% of actual weight;4;General basic
432;"Boeing 737-800 are certified to operate an ILS (no glide path-LLZ) procedure
down to which of following minima?";300ft;250ft;200ft;310ft;2;General basic
433;"Boeing 737-800 are certified to operate a VOR/DME procedure down to which
of following minima?";300ft;250ft;310ft;350ft;2;General basic
434;"Boeing 737-800 are certified to operate a VOR procedure down to which of
following minima?";300ft;250ft;350ft;400ft;1;General basic
435;"Boeing 737-800 are certified to operate a NDB procedure down to which of
following minima?";400ft;450ft;300ft;350ft;3;General basic
436;When the contingency fuel may be reduced from 5% to 3%?;When Takeoff Weight is less than 70.000kg;When CG is expected to be >than 25%;"When an enroute alternate aerodrome (3%ERA) is
available";"When Commander of the flight load at least 1000kg of
extra fuel";3;General basic
437;"Fuel required to fly to a Isolated aerodrome (alternate does not exist) include among others requirements, fuel required to fly for 2 hours at normal cruise consumption after arriving overhead the destination aerodrome including final
reserve fuel.";True;False;Procedure not applicable;Procedure applicable only for ETOPS flights;3;General basic
438;Icing conditions exist when:;"The OAT on the ground or TAT in-flight is 0° or below and visible moisture in any form is present or there is standing water, slush, ice or snow on the ramp, taxiways or
runways";"The OAT on the ground or TAT in-flight is 10° or below and visible moisture in any form is present or there is standing water, slush, ice or snow on the ramp, taxiways
or runways";"The OAT on the ground or TAT in-flight is 10° or above and visible moisture in any form is present or there is standing water, slush, ice or snow on the ramp, taxiways
or runways";The OAT on the ground or TAT in-flight is 10° or below and visibility is less than 10km;2;General basic
439;An approach regardless of the reported RVR/Visibility may be commenced if reported RVR/Visibility is less than applicable minima, and continued down to:;Final Approach Fix;Middle Marker;Minimum Descent Height;1000ft AGL;4;General basic
440;"When RVR or factored visibility, as applicable, is reported at or above
Company minima, descent to MDA/DA may be made:";If ceiling is at or above Company minima;If previous aeroplane landed safely;Regardless the cloud ceiling;If previous aeroplane reported field in sight at the minima;3;General basic
441;"What is the maximum distance and time from an adequate aerodrome at which
the aeroplane may be flown unless an ETOPS authorization is obtained from the applicable Authority:";410nm and 60min;420nm and 60min;400nm and 60min;420nm and 120min;1;General basic
442;No instrument or visual approach shall be made at angle less than:;ILS glide path or less than 2.5° if no ILS is available;ILS glide path or less than 3° if no ILS is available;ILS glide path or less than 3.5° if no ILS is available;3.5° anytime;2;General basic
443;"The descent below Circling Minima should not be made until visual reference  has been established and can be maintained, the pilot has the landing threshold in sight, the required obstacle clearance can be maintained and the aeroplane i
in a position to c";True;False;;;1;General basic
444;"The circling is designated to provide a terrain clearance of at least              above
the highest spot elevation within           from the runway threshold :";700ft - 5nm;349ft - 4.2nm;394ft - 4.2nm;493ft - 4.2nm;3;General basic
445;Minimum RVR/Visibility for a day takeoff on a runway with edge lighting and/or centerline markings is establish in:;500m;300m;250m;200m;3;General basic
446;"Minimum RVR/Visibility for takeoff on a runway with edge and centerline lighting
is establish in:";500m;300m;250m;200m;4;General basic
447;Category C  include aeroplane with a range of final approach speeds of:;85  - 130kt;115 - 160kt;130 - 185kt;135 - 230kt;2;General basic
448;Category C  maximum speeds for missed approach are (intermediate and final):;130 - 150kt;160 - 240kt;185 - 265kt;230 - 275kt;2;General basic
449;During night the visual approach may be executed?;"Yes, the only requirement is to maintain visual contact with
the runway";"Yes, the only requirement is to maintain VMC ground
contact";No, the visual approach is prohibited;"Yes, but must not be conducted outside the circling area
protection";4;General basic
450;Alternate fuel must be sufficient for:;"Full missed approach procedure from DH, DA, MDA, MDH at destination aerodrome to missed approach altitude; climb from missed approach altitude to cruising level/altitude; cruise from TOC to TOD; descent from
TOD to the point where the approach is initiate";"Full missed approach procedure from DH, DA, MDA, MDH at destination aerodrome to missed approach altitude; climb from missed approach altitude to cruising level/altitude; cruise from TOC to TOD; descent from
TOD to the point where the approach is initiate";"Full missed approach procedure from DH, DA, MDA, MDH at destination aerodrome to missed approach altitude; climb from missed approach altitude to cruising level/altitude; cruise from TOC to TOD; descent from
TOD to the point where the approach is initiate";"Full missed approach procedure from DH, DA, MDA, MDH at destination aerodrome to missed approach altitude; climb from missed approach altitude to cruising level/altitude; cruise from TOC to TOD; descent from
TOD to the point where the approach is initiate";3;General basic
451;Final Reserve Fuel, select most accurate definitions:;It is the fuel necessary to fly for 30min at the holding speed at 1500ft above the aerodrome elevation;"It is the fuel necessary to fly for 30min at the holding speed at 1500ft above the aerodrome elevation in standard conditions, calculated with estimated mass on arrival at the alternate or destination when no alternate is
required";It is the fuel necessary to fly 7 holding pattern at holding speed overhead the destination alternate;"It is the fuel necessary to fly 15 holding pattern at the holding speed at 1500ft above the aerodrome elevation in standard conditions, calculated with estimated mass on arrival at the alternate or destination when no alternate is
required";2;General basic
452;"The reported meteorological visibility can be factored during a CATII/III
approaches?";Yes;Yes, but only if is day;No;Yes but only for CATII approach;3;General basic
453;For an IFR flight less than 6 hours when the alternate is not required?;At least 2 separate runways are available at the destination;At least 2 separate runways are available at the destination and meteorological condition must be CAVOK for the ETA + 1 hr;"At least 2 separate runways are available and usable  at the destination and the appropriate weather reports or forecast indicate that, for a period from 1h before until 1h after the ETA  at destination, the ceiling will be at least
2000ft or circling hei";For an IFR flight is mandatory to file an alternate;3;General basic
454;"Which is the ICAO minimum required climb gradient during a missed approach
from a CATI approach?";2%;2,1%;2,3%;3,3%;2;General basic
455;"Which is the ICAO minimum required climb gradient during a missed approach
from a CATII approach?";2,1%;2,4%;2,5%;2,6%;3;General basic
456;"Which is the ICAO minimum required climb gradient during a missed approach
from a Non-precision approach?";2,1%;3,1%;2,2%;3,2%;1;General basic
457;Which effect has on landing minima the crosswind?;"DH/MDH must be increased by 10ft for each 10kt of
crosswind in excess of 10kt";"DH/MDH must be increased by 50ft for each 10kt of
crosswind in excess of 15kt";"DH/MDH must be increased by 10ft for each 15kt of
crosswind in excess of 10kt";"DH/MDH must be increased by 50ft for each 10kt of
crosswind in excess of 10kt";4;General basic
458;Standard baggage weight for international flight (within Europe) is:;11kg;13kg;15kg;17kg;2;General basic
459;Standard baggage weight for intercontinental flight is:;11kg;13kg;15kg;17kg;3;General basic
460;Standard baggage weight for domestic flight (within Italy) is:;11kg;12kg;13kg;15kg;1;General basic
461;"Prior to operating to a Cat B aerodrome the Commander should be briefed and must visit the aerodrome as an observer and/or undertake instruction in a flight
simulator approved by the Authority for the purpose:";True;False;;;2;General basic
462;"Prior to operating to a Cat C aerodrome the Commander should be briefed and must visit the aerodrome as an observer and/or undertake instruction in a flight
simulator approved by the Authority for the purpose:";True;False;;;1;General basic
463;"CATI operation is a precision instrument approach and landing using ILS, MLS
or PAR facilities and normally with a decision height not lower than:";50ft;100ft;200ft;250ft;3;General basic
464;A take off alternate shall be nominated:;"If the weather conditions are below Company minima for
landing";"If the weather conditions are below alternate landing
minima";"Is never necessary if autoland capability are tested and a
CATIII can be performed";If there are less than 2 separate runways;1;General basic
465;During an hijack condition:;Selcal must be used by ground station to call the aeroplane;"No selcal shall be originated by the ground station to an
aeroplane in known hijack condition, unless otherwise instructed by the pilot";There is no regulation concerning the use of selcal;Selcal code 7500 is used;2;General basic
466;What word shall be used to alert all air crew member of an hijacking?;ALERT;EMERGENCY;INVOKE;INPLORE;3;General basic
467;When icing conditions exist?;Visible moisture and OAT in flight 10°C or below;Visible moisture and OAT in flight 0°C or below;Visible moisture and TAT in flight 10°C or below;Visible clouds and OAT in flight 10°C or below;3;General basic
468;According to Italian Authority, security search at home base:;Is not compulsory;"Must be performed after the boarding is completed and all
pax are on board";Must be performed immediately prior the boarding;Must be performed during taxi before the cabin clear;3;General basic
469;During refueling HF, xponder and WX radar must be kept OFF:;True;False;;;1;General basic
470;According to Italian regulation, select the correct statement:;Refueling can be performed inside an hangar only if there is a fire fighting truck within 15m from the refueling station;Refueling can be performed inside an hangar only if there is a fixed firefighting system active;Refueling must be performed in open without other specific restriction;Refueling must be performed in open space at a distance of at least 15m from the closest building;4;General basic
471;During refueling with passengers on board, if one slide is inoperative, the door must be opened and connected with a loading bridge or a passenger stair.;True;False;;;1;General basic
472;The maximum number of infant permitted on board is:;20;23;25;28;4;General basic
473;Neos S.p.A. B737-800 can carry up to 2 stretchers:;True;False;False, up to 4 stretchers can be carried simultaneously;False, up to 6 stretchers can be carried simultaneously;2;General basic
474;Minimum Cabin Crew on board the company B737-800 is as follow:;1 Cabin crew member for each 50 passengers boarded;"1 Cabin crew member for each 50 passenger seats
installed (4 cabin crew members)";2 Cabin crew members for each 50 passengers boarded;3 Cabin crew members at all times;2;General basic
475;"The Declaration of Competency is valid for 1 year but will expire if its privileges
are not exercised for more than           by performing the inspection and signing the TLB page:";6 months;3 months;9 months;12 months;1;General basic
476;"A fuel check must be performed at least every           and at least one per
sector:";60min;15min;30min;2hrs;1;General basic
477;"For flights towards isolated/remote aerodromes, over the latest point of
diversion the fuel expected in order to continue inbound the intended destination must be not less than:";Fuel to fly for 30min over the destination;Fuel to fly for 15min over the destination;Holding  reserve fuel requirement;Fuel to fly for 15min over the destination at 1000ft;3;General basic
478;"On positioning flights no Cabin Crew member is required for up to         company
staff traveling on that flight:";20;25;10;15;1;General basic
479;Company Flight Crew Members are required to wear earphones at least:;"Pre flight operations to 10000ft and from 10000ft to post
flight operations and any time situation dictate";"Pre flight operations to TOC and from TOD to post flight
operations and any time situation dictate";Any time from preflight to post flight operations;At Crew discretions;2;General basic
480;Navigation lights must be on at least:;All the time;Only in IMC;Only in VMC;From sunset to sunrise;4;General basic
481;"Anti-collision lights must be on before starting an engine to after the last engine
has been shutdown:";True;False;;;1;General basic
482;"Alcohol must not be consumed by Crew Members while on duty an during the
preceding:";12h;16h;10h;8h;4;General basic
483;"Blood donations are forbidden in the period of           hours before commencing
flying duty or stand-by:";16;24;36;48;4;General basic
484;"Deep diving exceeding 10m (33ft) is forbidden in the period of           hours
before commencing flying duty or stand-by:";24;12;26;48;1;General basic
485;"Deep diving not exceeding 10m (33ft) is forbidden in the period of           hours
before commencing flying duty or stand-by:";24;12;26;48;2;General basic
486;The Duty End coincides with:;"The completion of the post flight operations, which is quantified
as 30 min after ATA last sector.";"The completion of the post flight operations, which is quantified
as 40 min after ATA last sector.";"The completion of the post flight operations, which is quantified
as 45 min after ATA last sector.";"The completion of the post flight operations, which is quantified
as 60 min after ATA last sector.";1;General basic
487;The maximum daily FDP may be extended due to in-flight rest for Flight Crew:;With one additional Flight Crew member up to 16 hours.;With one additional Flight Crew member up to 15 hours.;With two additional Flight Crew member up to 15 hours.;At commander discrection.;2;General basic
488;"Neos SpA standby procedures are designed to ensure that the combination of standby
and FDP do not    lead to more than              awake time:";21 hours;20 hours;18 hours;19 hours;3;General basic
489;"Post flight operations are quantified in 30 min after the block time of the last
sector:";True;False;;;1;General basic
490;Transit time between two operational flight is quantified in:;50 min;45 min;30 min;60 min;1;General basic
491;With visibility of           m or less the LHS must be PF for landing:;1200;1000;550;500;2;General basic
492;Commander may permit the Copilot to carry out takeoff day or night (from the RHS only) providing:;The runway surface is normal (no slush, snow, ice or standing water);"The RVR is not below 400m or a combination of poor visibility and cross-wind is not likely to result in directional
control difficulties for takeoff";Both answers A and B are correct;The Copilot is qualified accordingly;3;General basic
493;When RVR is less than 400m:;"Takeoff max crosswind component permissible is 50% of
that normally applied";Operations on wet runway are not permitted;Operations on contaminated runway are not permitted;Separation between aeroplane is increased by 50%;1;General basic
494;If after passing 1000ft the tower report that RVR is dropped below minima the crew should:;Discontinue immediately the approach and perform the missed approach procedure;Continue the approach to the Middle Marker but landing is not permitted unless the RVR increased above the minima;"Continue the approach down to the applicable minima and
land if the required visual reference are obtained otherwise execute the published missed approach";RVR has no influence on the continuation of the approach at any time;3;General basic
495;"Compliance with published noise abatement takeoff/approach/landing
procedures should not be required in adverse operating conditions:";True;False;;;1;General basic
496;"B-RNAV operations require an accuracy in the designated airspace of
plus/minus           nm:";0,02;0,5;2;5;4;General basic
497;Flying staff, flight dispatcherr and load planners, working for Operators authorized to carry dangerous goods, need to be aware?;"General Philosophy, Limitations, List of Dangerous goods, Provisions for passengers and crew, labelling and marking, storage and loading procedures, NOTOC,
Emergency procedures.";General Philosophy, Limitations, Provisions for passengers and crew, Documentation from the shipper, Loading, restrictions on loading and segregation.;Provisions for passengers and crew, labelling and marking, Emergency procedures, Classification and list of Dangerous Goods.;;1;Dangerous Goods
498;How are the passengers informed of the regulations?;Info on the ticket, info at check in desk, info at boarding area, displayed outside the airport.;"Info on the ticket, notices that contain visual
representation of those items which are forbidden displayed at check in desk, info at boarding area.";"info at check in desk, info on board, displayed at any
location at the airport, notices displayed on the boarding card.";;2;Dangerous Goods
499;What is the definitions of Dangerous Goods?;Article or substances which are capable of posing a risk to health, safety, property or the environment and which are shown in the DG list contained in the IATA DGR or which are classified i.a.w. DGR.;Article or substances which are capable of posing a risk to health, safety, security or the environment, forbidden for air transport and which are shown in the DG list in DGR or which are classified i.a.w. DGR.;Article or substances which are capable of posing a risk to health, safety, security or the flight and which are shown in the DG list in DGR or which are classified i.a.w. DGR but that can be transported as cargo.;;1;Dangerous Goods
500;Recurrent training is required within how many months of previous training?;12;24;36;;2;Dangerous Goods
501;"For an alcoholic beverage 65% alcohol by volume not exceeding 5L, does the
passenger need the approval of the operator?";Yes;No;"Only if the quantity is more than 6 liters and not in retail
packages.";;2;Dangerous Goods
502;Give the appropriate class or division number for Flammable liquid:;2;3;4;;2;Dangerous Goods
503;Give the appropriate class or division number for the Organic peroxide:;3;5,2;1,2;;2;Dangerous Goods
504;How many divisions and how many labels are there in class 6?;1;2;3;;2;Dangerous Goods
505;Power banks are considered as?;"Special Banks where deposits can give high interest rates
.";Batteries, spare/loose containing lithium.;Portable electronic devices.;;2;Dangerous Goods
506;May a passenger take, in carry-on baggage, two 750 mL hair spray aerosols?;Yes;No;Yes, but the approval from the operator is required;;2;Dangerous Goods
507;"For the Small oxygen cylinders (medical use), does the passenger need the
approval of the operator?";Yes, the cylinder must not exceed 5 kg gross weight.;No, permitted on one’s person.;"No, because this transport is not
allowed.";None of the above.;1;Dangerous Goods
508;"Should the pilot in command be notified for the wheelchair with a spillable
battery:";yes;No;No, only to the ramp agent;"Individually protected and can be used in flight prior
Captain permission,";1;Dangerous Goods
509;Which packing group represents the greater danger:;I;II;III;All packing group are dangerous.;1;Dangerous Goods
510;What CAO label stands for:;Air Operator Certificate;Cargo Aircraft Only;Cabin Assistant Only;Civil Aviation Organization;2;Dangerous Goods
511;What stands NOTOC for and what is its purpose?;"Notification to Captain providing information on the DG
loading";No Transport On Cabin;Notice of Carriage including special loads;"Notice to the Commander on the items contained in the
ULD";1;Dangerous Goods
512;May a passenger transport lithium ion batteries (Spare) in checked baggage?;Yes.;No.;Only if used for personal training.;With the approval of the Operator.;2;Dangerous Goods
513;E-cigarettes containing batteries according to Neos S.p.A. regulations must be:;Individually protected and can be used during the flight.;Not allowed on board.;"Individually protected and are permitted in carry-on
baggage only.";;3;Dangerous Goods
514;"Maximum quantity for carbon dioxide, solid (dry ice) per person when used to
pack perishables is:";5 kg.;2.5 kg.;Approval of the Operator and 2.5 lb.;2.5 kg with the approval of the Operator.;4;Dangerous Goods
515;A passenger aeroplane has a Class C cargo compartment  that means:;"There is a separate approved smoke detector or fire detector system to give warning to the flight deck, built-in fire extinguishing system, there are means of excluding hazardous quantities of smoke/flames from any compartment occupied by the passengers; there are
means of controlling ventilation.";It can be loaded with ULDs only and there are no fire extingushers.;It is only for Cargo aeroplanes and the fire is confined in the area by closing ventilation and there are no fire extinguishers.;None of the above.;1;Dangerous Goods
516;"If using an ULD (Unit load device) to transport Dangerous Goods,  which
indications should be provided?";A label attached indicating point of departure and arrival.;"Hazard labels on the exterior indicating that dangerous
goods are contained.";Approval of the Operator label.;CAO label and “Keep away from heat” label.;2;Dangerous Goods
517;"Live animals should not be loaded in close proximity to cryogenic liquids or dry
ice.";Only cats and dogs are allowed.;True. A level above packages containing dry ice.;Approval of the Operator is required.;No special instructions if the journey is less than 24 hours;2;Dangerous Goods
518;"Wheelchairs or other battery-powered mobility aids with non-spillable batteries
must be loaded:";As checked baggage only.;"Battery disconnected, as checked baggage only and
approval of the Operator.";"Approval of the Operator label and in the cargo
compartment.";"In a special suitcase, insulated and with “Battery-Powered
Wheelchair” label.";2;Dangerous Goods
519;Dangerous Goods  are listed in the DGR Manual using…?;Correct chemical name and number.;"Assigned UN numbers and proper shipping names according to their
hazard classification and composition.";"Packaging type and number suitable to protect from damage,
properly labelled.";"Dangerous Goods are listed in the Blue pages of the DGR Manual
by Class and ERG Code.";2;Dangerous Goods
520;Dangerous Goods/Inspection Kit is carried in the passengers cabin and consist of:;"Protective gloves (1 pair), Plastic bags (5), Tie wraps (8), security seals (5), aeroplane emergency response drills (1
page).";"Plastic gloves (1 pair), Plastic bags (5), Tie wraps (8), security seals (5), aeroplane emergency response drills (1
page), 1 alcohol bottle.";"Protective gloves (1 pair), Plastic bags (5), Tie wraps (8), security seals (5), aeroplane emergency response drills (1
page), Tri-fold scrab cutter.";None of the above.;1;Dangerous Goods
521;"Neos is authorized to carry Dangerous Goods on its aeroplanes. Does the
authorization include Radio Active materials?";Yes.;No.;Only if the transport is for medical use.;None of the above.;2;Dangerous Goods
522;Segregation of packages means:;Dangerous goods should be place in quarantine before loading.;Exposure to the sunlight should be avoid;"Packages containing DG which might react dangerously with each other, must not be stowed next to each other or in a position that would allow interaction between them in
the event of leakage.";Separation from Dangerous Goods and normal cargo requirements due to non compatibility;3;Dangerous Goods
523;Radioactive materials are identified by handling label under Class:;6;7;9;No special label;2;Dangerous Goods
524;Emergency Response Guidance for Aircraft Incidents Involving Dangerous Goods is a:;Special procedure coordinated with Ministry of Transport to deal with Emergency involving dangerous goods.;"So called “RED BOOK”, ICAO publication containing emergency information for flight crew in relation to
Dangerous Goods.";Company publication used as a guidance in case of Dangerous Goods incidents/accidents.;B is correct and the ICAO Publication is on board Neos aeroplanes (Flight deck).;4;Dangerous Goods
525;In case of an emergency involving Dangerous GOODS flight crew must:;Count until 10 before doing anything then follow checklist.;"Follow aeroplane emergency procedures for fire or smoke removal, NO SMOKING sign ON, consider landing as soon as possible, determine emergency response drill
code (from Red Book)";"Verify nature of the emergency, coordinate with Cabin Crew the type of Dangerous Goods. Verify drill code before diverting to an airport. Inform ATC about number of
passenger and meals on board.";"Send a message of distress, inform Cabin Crew to   prepare the aeroplane for an Emergency landing or ditching. Switch off non essential cabin equipment, instruct
fire fighting team not to open any door.";2;Dangerous Goods
526;When finding an undeclared or mis-declared dangerous goods in the aeroplane, the Operator must:;Inform Company Operations, Safety and Compliance Monitoring as soon as possible.;Inform Dangerous Goods training Manager and Safety Manager.;No special procedure, send a report to CAA and Airport Authorities after landing.;Make a report to the appropriate authorities of the State of the Operator and the State in which this occurred.;4;Dangerous Goods
527;Which form should be used by Neos Flying Staff to report an occurrence related to Dangerous Goods?;Confidential report;ASR marking the appropriate box DG and the DG occurrence report.;Corrective Action Report giving a description of the incident/accident.;Make an entry on the TLB and fill in the ASR marking the dedicated box DG and submit the DG occurrence report.;4;Dangerous Goods
528;Aircraft Emergency Response Drills can be found in the:;Operation Manual Part A.;CAM, AFM, IATA Manuals.;OM Part A, ICAO doc 9481, Dangerous Goods Kit.;;3;Dangerous Goods
529;For a drill code nr 6, what kind of risks you can expect?;"Dangerous goods should be placed away from
passengers; fire fighting team must wear the PBE and use gloves due to the toxicity; water contamination.";Exposure to toxic gasses, possible fire, contamination of air conditioning system, contamination of crew meals.;Toxicity, aeroplane contamination, fatal injury if ingested, possible abrupt loss of pressurization.;Low risk, use 100% oxygen, no other effects.;3;Dangerous Goods
530;"Is a passenger or crew member allowed to carry safety matches on board an
aircraft, and if so where must they be carried?";Never.;In the checked baggage and carry on baggage.;Dangerous Goods Kit.;Permitted only on one’s person.;4;Dangerous Goods
531;Immediately upon opening the cargo compartment after arrival, the ramp staff advise that a package containing flammable liquid is leaking. What actions are required?;Follow checklist for ground incidents and notify Fire brigade about the leakage. Do not smoke inside the cargo.;"Where safe to do so, the package should be removed  from the aeroplane. Emergency services must be notified. Precautions against fire must be taken.  An entry must be made in the maintenance log, to ensure that the cargo compartment is inspected for damage or contamination and that any contamination is removed. A full report of the incident must be submitted in accordance with company
procedures.";Verify nature of the goods, coordinate with Cabin Crew and ground staff the type of fire extinguisher that should be used. Advise Airport authorities of the incident.;Advise the ground staff as soon as possible and be prepared for a deplane. Notify airport authorities and medical services. Fill in a report within 72 hours from the time the incident occurred.;2;Dangerous Goods
532;When transporting “COMAT” do you need to perform an acceptance checklist?;Never.;Only if transporting class 3 dangerous goods.;If the shipment destination is Tortola (BVI).;"Yes, the shipment must not be allowed to travel without a
full acceptance check.";4;Dangerous Goods
533;"Packages to be loaded on a cargo aeroplane must be loaded so they are
accessible. What does “accessible” mean?";In an easy position to be downloaded.;Separated from the passenger luggage.;Easy to handle and not sealed to be easily inspected.;"Packages can be seen, handled and when size and weigh
permits, separated from other cargo in flight.";4;Dangerous Goods
534;Dangerous Goods in Operator property can include but are not limited to:;Batteries, Meals, dry ice, fuel, vending machines.;Fire extinguishers, fuel, oil, first aid kits.;Duty free items, alcoholic drinks, fuel, batteries, lap tops.;"Batteries, fire extinguishers, first-aid kits, life saving appliances, portable oxygen supplies, insecticides/air
fresheners, PEDs.";4;Dangerous Goods
535;What is a POC ?;Point of contact.;"Portable Oxygen Concentrators: a device for medical use that removes nitrogen from the air increasing the oxygen
content of the resulting air up to 96%.";Spare parts of the aeroplane.;Portable oxygen supply, included in the first-aid kit.;2;Dangerous Goods
536;"Which kind of permission is required for the Carriage of weapons , munitions of
war?";FOPH approval, CAA approval.;IATA permission and PPR.;"Over-Flight Permission given by any State intended to be
overflown.";;3;
537;May a passenger carry any weapon on board Neos aeroplanes?;Only if he/she is a Police member .;Not permitted.;Commander must be notified.;Answer a and c are correct.;4;Dangerous Goods
538;"Each lavatory has a Water Supply selector Valve, the Water Supply selector
Valve has four positions, and is located:";In the forward galley next to the door 1R;In the aft galley;In the forward cabinet below the sink;In each cabinet below the sink;4;Safety
